ID,eta,pt,p,phi,motherPDG,nClusters,trackType,pDca,chi2,chi2MatchMCHMID,chi2MatchMCHMFT,isPrompt
88367,-3.16496,0.243115,2.88455,-2.5908,211,11,3,76.7159,0.515625,1.21875,-1,1
88367,2.72339,0.115458,0.883115,6.49523,211,11,0,76.7159,370688,1.21875,36,1
102667,-3.41393,0.85888,13.0624,2.8012,321,12,3,44.9307,0.144531,0.554688,-1,1
102667,-3.43907,0.996715,15.5439,2.77976,321,12,0,44.9307,37,0.554688,23.375,1
133004,-2.81062,0.592036,4.9377,-2.29163,211,10,2,58.2282,1000,-1,17.125,1
133004,-2.3526,0.211855,1.12367,-2.23057,211,10,4,58.2282,0.578125,-1,-1,1
171002,-2.93607,0.560673,5.29689,1.07561,321,10,3,140.529,0.210938,1.0625,-1,1
171002,-3.42954,0.515674,7.96586,0.911866,321,10,0,140.529,69,1.0625,31,1
197209,-3.73895,0.510914,10.7491,0.0968424,321,10,3,51.1675,0.232422,1.30469,-1,1
197209,-3.38933,0.897557,13.3196,0.495091,321,10,0,51.1675,205,1.30469,39.5,1
270373,-3.27961,0.39125,5.20425,-2.7261,431,10,3,117.941,0.251953,0.621094,-1,1
270373,-3.50829,0.688866,11.5114,-2.95419,431,10,0,117.941,165,0.621094,35.25,1
295826,-3.74386,0.387916,8.20142,2.34296,211,10,3,90.8707,0.0678711,1.10156,-1,1
295826,6.42364,0.13969,43.0417,5.4786,211,10,0,90.8707,851968,1.10156,210,1
361085,-3.44749,0.423797,6.66491,-2.05186,411,12,3,49.0469,0.133789,0.855469,-1,1
361085,-3.2618,0.698142,9.12291,-2.1348,411,12,0,49.0469,24.25,0.855469,5.3125,1
446725,-3.0585,0.263036,2.80693,3.10044,211,9,3,32.6772,0.0737305,1.42188,-1,1
446725,-3.21358,0.406349,5.06069,-2.78959,211,9,0,32.6771,3.9375,1.42188,1.625,1
479062,-3.19948,0.316685,3.88898,0.953508,211,10,3,95.0399,0.222656,0.953125,-1,1
479062,-3.38359,0.47817,7.05546,0.900932,211,10,0,95.0399,69,0.953125,12.5625,1
540836,-3.46161,0.574716,9.16664,-0.345634,321,12,3,134.236,0.0927734,0.703125,-1,1
540836,4.35587,0.677193,26.3927,-0.255201,321,12,0,134.236,655360,0.703125,73.5,1
543687,-3.00305,0.29362,2.96504,2.33533,321,10,3,75.9633,0.122559,1.92188,-1,1
543687,-3.51235,0.316611,5.31223,1.57846,321,10,0,75.9633,61.5,1.92188,15.1875,1
558212,-3.62672,0.161833,3.04375,0.382176,211,11,3,21.8603,0.355469,1.14844,-1,0
558212,-3.53397,0.308759,5.29349,0.3554,211,11,0,21.8603,26.375,1.14844,9.8125,0
579892,-3.20026,0.283166,3.48005,2.74461,211,12,3,68.4948,0.390625,2.5625,-1,1
579892,-3.61244,0.327549,6.0733,2.27626,211,12,0,68.4948,240,2.5625,28.75,1
587036,-2.55744,0.30707,1.99291,1.03298,211,12,3,90.1095,0.34375,2.10938,-1,1
587036,-3.36763,0.442333,6.42356,0.773375,211,12,0,90.1095,33.5,2.10938,11.6875,1
594854,-3.27337,0.421573,5.57278,0.314176,211,11,2,22.79,138240,-1,10.3125,1
594854,-3.75808,0.0846701,1.81573,1.00947,211,11,4,22.79,0.230469,-1,-1,1
626362,-3.12497,0.314183,3.58219,-2.7121,211,10,3,44.2238,0.283203,2.14062,-1,1
626362,-2.90955,0.721127,6.63543,-2.96289,211,10,0,44.2238,2512,2.14062,39.5,1
657418,-2.9556,0.560175,5.39596,2.50845,211,10,3,105.35,0.173828,1.20312,-1,0
657418,-3.31148,0.569086,7.81414,2.85741,211,10,0,105.35,19.25,1.20312,12.375,0
720218,-3.57878,0.203477,3.64811,-2.29923,321,11,3,13.9105,0.0776367,1.0625,-1,1
720218,-2.76716,1.4019,11.1985,-2.21877,321,11,0,13.9105,33280,1.0625,18.5,1
783395,-2.95942,0.229211,2.21631,0.403375,321,10,3,63.3879,0.503906,3.625,-1,1
783395,-3.352,0.59414,8.49469,0.863147,321,10,0,63.3879,322,3.625,10.625,1
