ID,eta,pt,p,phi,motherPDG,nClusters,pDca,chi2,chi2MatchMCHMID,chi2MatchMCHMFT,isPrompt
88367,-3.16496,0.243115,2.88455,-2.5908,211,11,76.7159,0.515625,1.21875,-1,1
102667,-3.41393,0.85888,13.0624,2.8012,321,12,44.9307,0.144531,0.554688,-1,1
171002,-2.93607,0.560673,5.29689,1.07561,321,10,140.529,0.210938,1.0625,-1,1
197209,-3.73895,0.510914,10.7491,0.0968424,321,10,51.1675,0.232422,1.30469,-1,1
270373,-3.27961,0.39125,5.20425,-2.7261,431,10,117.941,0.251953,0.621094,-1,1
295826,-3.74386,0.387916,8.20142,2.34296,211,10,90.8707,0.0678711,1.10156,-1,1
361085,-3.44749,0.423797,6.66491,-2.05186,411,12,49.0469,0.133789,0.855469,-1,1
446725,-3.0585,0.263036,2.80693,3.10044,211,9,32.6772,0.0737305,1.42188,-1,1
479062,-3.19948,0.316685,3.88898,0.953508,211,10,95.0399,0.222656,0.953125,-1,1
540836,-3.46161,0.574716,9.16664,-0.345634,321,12,134.236,0.0927734,0.703125,-1,1
543687,-3.00305,0.29362,2.96504,2.33533,321,10,75.9633,0.122559,1.92188,-1,1
558212,-3.62672,0.161833,3.04375,0.382176,211,11,21.8603,0.355469,1.14844,-1,0
579892,-3.20026,0.283166,3.48005,2.74461,211,12,68.4948,0.390625,2.5625,-1,1
587036,-2.55744,0.30707,1.99291,1.03298,211,12,90.1095,0.34375,2.10938,-1,1
626362,-3.12497,0.314183,3.58219,-2.7121,211,10,44.2238,0.283203,2.14062,-1,1
657418,-2.9556,0.560175,5.39596,2.50845,211,10,105.35,0.173828,1.20312,-1,0
720218,-3.57878,0.203477,3.64811,-2.29923,321,11,13.9105,0.0776367,1.0625,-1,1
783395,-2.95942,0.229211,2.21631,0.403375,321,10,63.3879,0.503906,3.625,-1,1
794431,-3.4291,0.450159,6.95075,-0.699739,211,9,72.4956,0.253906,0.349609,-1,1
905135,-3.0537,0.170766,1.81361,2.80839,321,11,46.7849,0.25,14.9375,-1,1
927709,-3.39902,1.03663,15.5331,-2.40708,211,10,149.19,0.10498,0.964844,-1,1
929289,-3.73591,0.212669,4.46073,-2.83669,211,10,128.829,0.185547,1.76562,-1,1
984131,-3.3951,0.528448,7.88741,-2.41848,211,11,34.6643,0.124512,1.71875,-1,1
1042809,-3.50149,0.410421,6.81197,0.250335,211,10,54.5601,0.183594,0.492188,-1,1
1054230,-3.34846,0.268943,3.83164,2.05996,321,10,55.0801,0.283203,1.10938,-1,1
1144752,-3.30909,0.16064,2.20051,-0.88729,211,10,44.4728,0.259766,4.4375,-1,1
1186136,-3.35869,0.338484,4.87186,2.49043,211,10,58.6877,0.209961,0.945312,-1,1
1201142,-3.16728,0.454707,5.40759,0.0652394,211,12,45.1331,0.28125,1.26562,-1,1
37337,-3.66659,0.114273,2.23655,2.37634,211,12,37.1496,0.265625,3.98438,-1,0
149362,-2.79156,0.358324,2.93248,0.679107,321,11,75.8599,0.28125,0.734375,-1,1
291876,-3.48942,0.406995,6.67421,2.81245,211,10,83.6212,0.0825195,2.04688,-1,1
350476,-3.05529,0.234459,2.49399,0.887527,211,10,35.2798,0.188477,3.65625,-1,1
377185,-3.24349,0.618311,7.93356,-1.81615,211,12,61.9929,0.0500488,1.07031,-1,1
398468,-3.08132,0.695416,7.5915,0.943233,211,10,174.306,0.0673828,0.429688,-1,1
455018,-2.91605,0.272377,2.52253,-1.2366,211,11,15.2159,0.177734,3.67188,-1,1
530136,-3.78511,2.86684,63.161,-0.805565,421,10,224.494,0.242188,0.220703,-1,1
599809,-3.11529,1.10048,12.4269,1.17701,321,10,84.1572,0.11084,1.32031,-1,1
609265,-3.47039,0.228139,3.67079,-2.14816,211,10,22.567,0.882812,0.386719,-1,1
626148,-3.11233,0.892666,10.0504,1.35614,211,12,141.992,0.251953,1.33594,-1,1
659234,-3.74726,0.129138,2.73954,0.022958,211,10,70.0959,0.800781,6.625,-1,1
786844,-3.4494,0.371216,5.8491,0.752301,211,10,36.381,0.097168,0.890625,-1,1
901718,-2.9497,0.363121,3.47735,0.257497,321,9,160.666,0.139648,2.17188,-1,1
930836,-3.83807,0.236736,5.49902,-1.52096,211,10,109.496,0.161133,0.0805664,-1,1
995980,-3.81371,0.205108,4.64982,-0.320479,211,10,6.63484,0.158203,1.07812,-1,1
1048237,-3.31359,0.78603,10.8158,-1.20788,321,10,108.639,0.0437012,0.416016,-1,1
1119580,-2.97778,0.292008,2.87556,-0.250929,321,9,54.9672,0.316406,0.396484,-1,1
1154672,-3.01776,0.415374,4.2564,-0.391987,211,11,141.946,0.283203,1.20312,-1,1
1163696,-3.10989,1.376,15.4547,1.36707,411,10,72.5485,0.0927734,0.417969,-1,1
1178883,-2.67608,0.684263,4.99406,-0.327706,211,11,81.5555,0.121094,0.332031,-1,1
1259176,-3.20973,0.502207,6.23055,-2.24241,211,10,95.4764,0.0742188,1.57812,-1,0
1266534,-2.82544,0.39961,3.38223,2.074,321,11,146.259,0.318359,0.00305176,-1,1
155529,-3.72719,1.29815,26.9927,0.843287,411,10,173.831,0.0927734,0.384766,-1,1
225775,-3.61688,0.317667,5.91627,-0.482759,211,12,79.2416,0.335938,0.112305,-1,1
402552,-2.36329,1.18168,6.33378,0.741858,211,10,532.114,0.176758,0.90625,-1,1
468863,-2.96383,0.525398,5.10255,-0.260571,211,10,150.208,0.249023,0.542969,-1,1
473570,-3.42536,0.4882,7.51004,-0.430166,211,11,77.0179,0.100586,0.188477,-1,1
505978,-3.5002,0.211592,3.50738,-2.45723,321,11,27.1745,0.147461,0.746094,-1,1
515756,-3.21065,0.238278,2.95888,-2.41716,211,10,42.0975,0.457031,0.150391,-1,1
546289,-2.95303,0.272051,2.61389,3.036,211,10,15.32,0.244141,0.789062,-1,1
662924,-3.40182,1.02394,15.3857,0.803907,211,10,224.07,0.065918,1.375,-1,1
681655,-3.15195,0.449074,5.25964,-2.84997,321,10,62.8502,0.261719,1.40625,-1,1
826572,-3.382,0.191063,2.81469,2.93979,211,10,26.6702,0.205078,1.08594,-1,1
987942,-3.23851,0.270042,3.44777,-1.01587,211,10,86.4272,0.199219,0.609375,-1,1
1003020,-2.84702,0.244217,2.11178,-2.4084,211,11,77.4308,0.345703,4.34375,-1,0
1021557,-3.51668,0.32831,5.53236,-1.87567,211,10,21.0043,0.216797,0.5625,-1,0
1088342,-4.5632,0.0652437,3.12844,-1.81902,211,11,57.7885,0.126953,1.44531,-1,0
1087415,-2.96242,0.517466,5.01848,2.75283,211,10,160.644,0.123535,0.287109,-1,0
1113200,-3.35209,0.478114,6.8364,2.41787,211,10,157.302,0.132812,1.21094,-1,1
1115747,-3.17662,0.725084,8.70365,-2.30443,211,10,91.0165,0.106445,0.546875,-1,1
1142723,-3.63903,0.571907,10.8894,0.603258,211,10,65.5387,0.125977,1.32031,-1,1
1166260,-2.59181,0.330803,2.22115,2.32385,321,10,58.4232,0.180664,9.3125,-1,1
1194744,-3.53249,0.416133,7.12383,-2.32521,211,10,59.6366,0.102539,0.605469,-1,1
1399275,-3.56382,0.453198,8.00487,-2.73501,211,10,58.7607,0.0524902,0.945312,-1,1
1536021,-2.5138,0.396745,2.46631,2.73312,321,11,11.808,0.18457,1.60156,-1,1
1561393,-3.28179,0.531775,7.08885,2.65553,421,10,160.714,0.130859,0.183594,-1,1
1605016,-2.8826,0.513831,4.60307,0.824675,211,10,125.93,0.113281,1.16406,-1,1
1618005,-3.44365,0.5546,8.68864,1.86746,211,11,27.476,0.206055,0.566406,-1,0
1640009,-3.60222,0.121529,2.23047,-0.408866,321,10,13.5698,0.378906,2.85938,-1,1
1664459,-2.68091,0.342733,2.5134,-3.00293,321,10,110.404,0.828125,1.66406,-1,1
35052,-3.86924,0.212514,5.09256,-2.40141,321,10,35.7091,0.195312,0.53125,-1,1
104750,-3.19208,0.274273,3.34339,-2.22785,211,9,61.4956,0.330078,1.35156,-1,1
124685,-2.90401,0.581901,5.32498,-1.94017,211,10,37.673,0.224609,0.466797,-1,0
153924,-3.4693,0.329419,5.29464,0.336107,431,10,46.6053,0.269531,1.15625,-1,1
196414,-3.13325,0.458371,5.26941,-0.645833,211,10,101.965,0.0961914,0.824219,-1,1
217024,-3.25054,0.575362,7.43456,2.88794,211,9,185.323,0.255859,1.53125,-1,1
297865,-3.42518,0.253058,3.89214,2.10458,411,11,53.2778,0.0942383,1.03906,-1,1
417661,-2.53638,0.471563,2.99749,0.412975,321,9,127.61,0.201172,0.455078,-1,1
420205,-3.60102,0.157635,2.8897,0.850535,421,14,85.3239,0.208008,0.894531,-1,1
438134,-2.60171,0.556333,3.77219,-0.00315791,421,10,40.4094,0.28125,1.77344,-1,1
651065,-3.24967,0.594269,7.67223,-1.42107,321,12,77.0432,0.102051,2.3125,-1,1
653208,-2.9109,0.322952,2.97563,0.640134,211,10,82.0663,0.457031,1.24219,-1,0
859319,-3.21761,0.42349,5.2954,2.94708,211,10,82.3929,0.170898,0.21875,-1,1
862227,-2.5829,0.628655,4.18402,0.278298,211,11,180.731,0.188477,1.47656,-1,1
882494,-3.34055,0.326687,4.61774,2.20315,211,9,49.8611,0.460938,2.34375,-1,1
945920,-3.86984,0.232305,5.57018,-0.168554,211,10,43.723,0.204102,2.25,-1,1
1080589,-2.92374,0.226574,2.11445,-2.70929,211,11,28.5362,0.0737305,5.0625,-1,1
1179065,-2.89304,0.818463,7.40853,-1.8243,211,11,284.453,0.0761719,2.51562,-1,1
55447,-3.07188,0.351166,3.79765,0.880491,211,10,85.7578,0.10791,2.375,-1,1
175397,-3.15572,0.337453,3.96717,3.0472,211,10,56.9689,0.0776367,2.23438,-1,1
178178,-3.51042,0.246569,4.12908,2.33681,211,10,48.6616,0.21582,0.457031,-1,1
204594,-3.08958,0.308643,3.39714,-3.06171,211,10,22.1282,0.695312,1.5,-1,1
221324,-2.6661,0.340454,2.46033,-2.93127,321,10,83.0198,0.133789,1.40625,-1,1
227247,-2.97979,0.288207,2.8438,-2.74909,411,11,95.2086,0.148438,0.320312,-1,1
250826,-2.525,0.567195,3.56511,-0.637776,211,10,43.8996,0.137695,1.35938,-1,1
253103,-2.73438,0.232807,1.80018,-0.976661,211,11,68.4194,0.173828,2.1875,-1,0
480565,-3.67818,0.23767,4.70579,0.209486,211,9,24.1225,0.212891,1.22656,-1,1
505035,-2.70455,0.294084,2.20775,-2.70245,211,11,50.8713,0.227539,1.9375,-1,1
522114,-3.97491,0.0827943,2.20499,0.258261,211,11,28.9757,0.204102,7.5625,-1,1
585265,-3.47677,0.500764,8.10887,0.201792,211,10,43.5436,0.09375,0.345703,-1,1
621275,-3.0898,0.375952,4.13891,-1.64526,211,10,57.2241,0.65625,0.11084,-1,0
